ID	Frameset	Arg	Func	Descr
1	1500.01	ARG1	PPT	thing that is 1500
2	300.01	ARG1	PPT	thing that is 300
3	cte.01	ARG0	PAG	performer
4	cte.01	ARG1	PPT	entity scanned
5	ct.01	ARG0	PAG	performer
6	ct.01	ARG1	PPT	entity scanned
7	ct.01	ARG2	LOC	more specific entity scanned, if in addition to ARG1
8	egd.01	ARG0	PAG	doctor
9	egd.01	ARG1	PPT	patient
10	mri.01	ARG0	PAG	performer
11	mri.01	ARG1	PPT	entity scanned
12	mri.01	ARG2	LOC	more specific entity scanned, if in addition to ARG1
13	whipple.01	ARG0	PAG	remover
14	whipple.01	ARG1	PPT	removed
15	whipple.01	ARG2	SRC	removed from
16	aa.01	ARG0	PAG	awake/alert entity
17	aao.01	ARG0	PAG	awake, alert, and oriented person
18	aao.01	ARG1	PPT	oriented to (some number out of 3, usually x3 or such)
19	abandon.01	ARG0	PPT	abandoner
20	abandon.01	ARG1	DIR	entity left behind
21	abandon.01	ARG2	PRD	attribute of arg1
22	abandon.02	ARG0	PAG	abandoner
23	abandon.02	ARG1	PPT	thing abandoned, left behind
24	abandon.02	ARG2	GOL	preferred item
25	abandon.03	ARG0	PAG	entity abandoning something
26	abandon.03	ARG1	PPT	thing abandoned
27	abandon.03	ARG2	GOL	benefactive, abandoned-to
28	abase.01	ARG0	PAG	causer of humbling
29	abase.01	ARG1	PPT	entity lowered, humbled
30	abase.01	ARG2	MNR	instrument, if separate from arg 0
31	abash.01	ARG0	PAG	causer of shame
32	abash.01	ARG1	PPT	abashed entity
33	abash.01	ARG2	MNR	instrument, if separate from arg0
34	abate.01	ARG0	PAG	causer
35	abate.01	ARG1	PPT	entity decreased
36	abbreviate.01	ARG0	PAG	causal agent
37	abbreviate.01	ARG1	PPT	thing becoming shorter
38	abbreviate.01	ARG2	EXT	EXT, arg1 is shortened by how much?
39	abbreviate.01	ARG3	DIR	start state of arg 1, original word when separate mention
40	abbreviate.01	ARG4	PRD	end state of arg1, new abbreviation
41	abdicate.01	ARG0	PAG	abdicator, agent
42	abdicate.01	ARG1	DIR	responsibility
